Key,County,State,Country,Update,Confirmed,Deaths,Recovered,Active
"Aransas, Texas, US",aransas,texas,US,2020-04-22 23:30:53,2,0,0,2
"Arapahoe, Colorado, US",arapahoe,colorado,US,2020-04-22 23:30:53,1717,87,0,1630
"Archuleta, Colorado, US",archuleta,colorado,US,2020-04-22 23:30:53,9,0,0,9
"Arenac, Michigan, US",arenac,michigan,US,2020-04-22 23:30:53,13,1,0,12
"Arkansas, Arkansas, US",arkansas,arkansas,US,2020-04-22 23:30:53,2,0,0,2
"Arlington, Virginia, US",arlington,virginia,US,2020-04-22 23:30:53,663,24,0,639
"Armstrong, Pennsylvania, US",armstrong,pennsylvania,US,2020-04-22 23:30:53,39,2,0,37
"Armstrong, Texas, US",armstrong,texas,US,2020-04-22 23:30:53,1,0,0,1
"Aroostook, Maine, US",aroostook,maine,US,2020-04-22 23:30:53,2,0,0,2
"Ascension, Louisiana, US",ascension,louisiana,US,2020-04-22 23:30:53,533,33,0,500
"Ashe, North Carolina, US",ashe,north-carolina,US,2020-04-22 23:30:53,4,0,0,4
"Ashland, Ohio, US",ashland,ohio,US,2020-04-22 23:30:53,5,0,0,5
"Ashland, Wisconsin, US",ashland,wisconsin,US,2020-04-22 23:30:53,2,0,0,2
"Ashley, Arkansas, US",ashley,arkansas,US,2020-04-22 23:30:53,13,0,0,13
"Ashtabula, Ohio, US",ashtabula,ohio,US,2020-04-22 23:30:53,80,6,0,74
"Asotin, Washington, US",asotin,washington,US,2020-04-22 23:30:53,14,0,0,14
"Assumption, Louisiana, US",assumption,louisiana,US,2020-04-22 23:30:53,154,1,0,153
"Atascosa, Texas, US",atascosa,texas,US,2020-04-22 23:30:53,14,1,0,13
"Atchison, Kansas, US",atchison,kansas,US,2020-04-22 23:30:53,6,0,0,6
"Atchison, Missouri, US",atchison,missouri,US,2020-04-22 23:30:53,2,0,0,2
"Athens, Ohio, US",athens,ohio,US,2020-04-22 23:30:53,3,1,0,2
"Atkinson, Georgia, US",atkinson,georgia,US,2020-04-22 23:30:53,5,0,0,5
"Atlantic, New Jersey, US",atlantic,new-jersey,US,2020-04-22 23:30:53,505,24,0,481
"Atoka, Oklahoma, US",atoka,oklahoma,US,2020-04-22 23:30:53,1,0,0,1
"Attala, Mississippi, US",attala,mississippi,US,2020-04-22 23:30:53,51,0,0,51
"Audrain, Missouri, US",audrain,missouri,US,2020-04-22 23:30:53,1,0,0,1
"Audubon, Iowa, US",audubon,iowa,US,2020-04-22 23:30:53,1,0,0,1
"Auglaize, Ohio, US",auglaize,ohio,US,2020-04-22 23:30:53,28,3,0,25
"Augusta, Virginia, US",augusta,virginia,US,2020-04-22 23:30:53,30,0,0,30
"Aurora, South Dakota, US",aurora,south-dakota,US,2020-04-22 23:30:53,1,0,0,1
"Austin, Texas, US",austin,texas,US,2020-04-22 23:30:53,12,0,0,12
"Autauga, Alabama, US",autauga,alabama,US,2020-04-22 23:30:53,32,2,0,30
"Avoyelles, Louisiana, US",avoyelles,louisiana,US,2020-04-22 23:30:53,71,7,0,64
"Baca, Colorado, US",baca,colorado,US,2020-04-22 23:30:53,10,0,0,10
"Bacon, Georgia, US",bacon,georgia,US,2020-04-22 23:30:53,20,1,0,19
"Baker, Florida, US",baker,florida,US,2020-04-22 23:30:53,17,3,0,14
"Baker, Georgia, US",baker,georgia,US,2020-04-22 23:30:53,20,2,0,18
"Baldwin, Alabama, US",baldwin,alabama,US,2020-04-22 23:30:53,132,3,0,129
"Baldwin, Georgia, US",baldwin,georgia,US,2020-04-22 23:30:53,155,4,0,151
"Ballard, Kentucky, US",ballard,kentucky,US,2020-04-22 23:30:53,4,0,0,4
"Baltimore, Maryland, US",baltimore,maryland,US,2020-04-22 23:38:40,2012,67,0,1945
"Baltimore City, Maryland, US",baltimore-city,maryland,US,2020-04-22 23:38:40,1602,64,0,1538
"Bamberg, South Carolina, US",bamberg,south-carolina,US,2020-04-22 23:30:53,7,0,0,7
"Bandera, Texas, US",bandera,texas,US,2020-04-22 23:30:53,4,0,0,4
"Banks, Georgia, US",banks,georgia,US,2020-04-22 23:30:53,16,0,0,16
"Bannock, Idaho, US",bannock,idaho,US,2020-04-22 23:30:53,8,0,0,8
"Baraga, Michigan, US",baraga,michigan,US,2020-04-22 23:30:53,0,0,0,0
"Barber, Kansas, US",barber,kansas,US,2020-04-22 23:30:53,1,0,0,1
"Barbour, Alabama, US",barbour,alabama,US,2020-04-22 23:30:53,29,0,0,29
"Barbour, West Virginia, US",barbour,west-virginia,US,2020-04-22 23:30:53,4,0,0,4
"Barnes, North Dakota, US",barnes,north-dakota,US,2020-04-22 23:30:53,3,0,0,3
"Barnstable, Massachusetts, US",barnstable,massachusetts,US,2020-04-22 23:30:53,678,22,0,656
"Barnwell, South Carolina, US",barnwell,south-carolina,US,2020-04-22 23:30:53,8,0,0,8
"Barren, Kentucky, US",barren,kentucky,US,2020-04-22 23:30:53,8,0,0,8
"Barron, Wisconsin, US",barron,wisconsin,US,2020-04-22 23:30:53,6,0,0,6
"Barrow, Georgia, US",barrow,georgia,US,2020-04-22 23:30:53,103,3,0,100
"Barry, Michigan, US",barry,michigan,US,2020-04-22 23:30:53,28,1,0,27
"Barry, Missouri, US",barry,missouri,US,2020-04-22 23:30:53,5,0,0,5
"Bartholomew, Indiana, US",bartholomew,indiana,US,2020-04-22 23:30:53,146,7,0,139
"Barton, Kansas, US",barton,kansas,US,2020-04-22 23:30:53,9,0,0,9
"Bartow, Georgia, US",bartow,georgia,US,2020-04-22 23:30:53,259,27,0,232
"Bastrop, Texas, US",bastrop,texas,US,2020-04-22 23:30:53,51,2,0,49
"Bates, Missouri, US",bates,missouri,US,2020-04-22 23:30:53,6,1,0,5
"Bath, Kentucky, US",bath,kentucky,US,2020-04-22 23:30:53,3,0,0,3
"Bath, Virginia, US",bath,virginia,US,2020-04-22 23:30:53,0,0,0,0
"Baxter, Arkansas, US",baxter,arkansas,US,2020-04-22 23:30:53,5,0,0,5
"Bay, Florida, US",bay,florida,US,2020-04-22 23:30:53,59,2,0,57
"Bay, Michigan, US",bay,michigan,US,2020-04-22 23:30:53,93,2,0,91
"Bayfield, Wisconsin, US",bayfield,wisconsin,US,2020-04-22 23:30:53,3,1,0,2
"Beadle, South Dakota, US",beadle,south-dakota,US,2020-04-22 23:30:53,21,2,0,19
"Bear River, Utah, US",bear-river,utah,US,2020-04-22 23:30:53,55,1,0,54
"Beaufort, North Carolina, US",beaufort,north-carolina,US,2020-04-22 23:30:53,16,0,0,16
"Beaufort, South Carolina, US",beaufort,south-carolina,US,2020-04-22 23:30:53,236,9,0,227
"Beauregard, Louisiana, US",beauregard,louisiana,US,2020-04-22 23:30:53,36,2,0,34
"Beaver, Oklahoma, US",beaver,oklahoma,US,2020-04-22 23:30:53,1,0,0,1
"Beaver, Pennsylvania, US",beaver,pennsylvania,US,2020-04-22 23:30:53,317,47,0,270
"Beaverhead, Montana, US",beaverhead,montana,US,2020-04-22 23:30:53,1,0,0,1
"Becker, Minnesota, US",becker,minnesota,US,2020-04-22 23:30:53,2,0,0,2
"Beckham, Oklahoma, US",beckham,oklahoma,US,2020-04-22 23:30:53,2,0,0,2
"Bedford, Pennsylvania, US",bedford,pennsylvania,US,2020-04-22 23:30:53,16,1,0,15
"Bedford, Tennessee, US",bedford,tennessee,US,2020-04-22 23:30:53,105,2,0,103
"Bedford, Virginia, US",bedford,virginia,US,2020-04-22 23:30:53,20,0,0,20
"Bee, Texas, US",bee,texas,US,2020-04-22 23:30:53,5,0,0,5
"Belknap, New Hampshire, US",belknap,new-hampshire,US,2020-04-22 23:30:53,28,0,0,28
"Bell, Texas, US",bell,texas,US,2020-04-22 23:30:53,145,3,0,142
"Belmont, Ohio, US",belmont,ohio,US,2020-04-22 23:30:53,93,6,0,87
"Beltrami, Minnesota, US",beltrami,minnesota,US,2020-04-22 23:30:53,6,0,0,6
"Ben Hill, Georgia, US",ben-hill,georgia,US,2020-04-22 23:30:53,20,0,0,20
"Bennington, Vermont, US",bennington,vermont,US,2020-04-22 23:30:53,37,1,0,36
"Benton, Arkansas, US",benton,arkansas,US,2020-04-22 23:30:53,68,0,0,68
"Benton, Indiana, US",benton,indiana,US,2020-04-22 23:30:53,4,0,0,4
"Benton, Iowa, US",benton,iowa,US,2020-04-22 23:30:53,24,1,0,23
"Benton, Minnesota, US",benton,minnesota,US,2020-04-22 23:30:53,4,0,0,4
"Benton, Mississippi, US",benton,mississippi,US,2020-04-22 23:30:53,8,0,0,8
"Benton, Missouri, US",benton,missouri,US,2020-04-22 23:30:53,3,0,0,3
"Benton, Oregon, US",benton,oregon,US,2020-04-22 23:30:53,27,5,0,22
"Benton, Tennessee, US",benton,tennessee,US,2020-04-22 23:30:53,4,0,0,4
"Benzie, Michigan, US",benzie,michigan,US,2020-04-22 23:30:53,4,0,0,4
"Bergen, New Jersey, US",bergen,new-jersey,US,2020-04-22 23:30:53,13686,876,0,12810
"Berkeley, South Carolina, US",berkeley,south-carolina,US,2020-04-22 23:30:53,143,6,0,137
"Berkeley, West Virginia, US",berkeley,west-virginia,US,2020-04-22 23:30:53,121,1,0,120
"Berks, Pennsylvania, US",berks,pennsylvania,US,2020-04-22 23:30:53,2069,85,0,1984
"Berkshire, Massachusetts, US",berkshire,massachusetts,US,2020-04-22 23:30:53,404,29,0,375
"Bernalillo, New Mexico, US",bernalillo,new-mexico,US,2020-04-22 23:30:53,600,29,0,571
"Berrien, Georgia, US",berrien,georgia,US,2020-04-22 23:30:53,10,0,0,10
"Berrien, Michigan, US",berrien,michigan,US,2020-04-22 23:30:53,177,11,0,166
"Bertie, North Carolina, US",bertie,north-carolina,US,2020-04-22 23:30:53,27,1,0,26
